,TA,WOM_BTW_0_,WOM_BTW_5_,WOM_BTW_10,WOM_BTW_15,WOM_BTW_20,WOM_BTW_25,WOM_BTW_30,WOM_BTW_35,WOM_BTW_40,WOM_BTW_45,WOM_BTW_50,WOM_BTW_55,WOM_BTW_60,WOM_BTW_65,WOM_BTW_70,zone97,SocialClass
553,4937,169,233,205,297,309,446,598,402,361,391,380,370,298,288,190,554,B
556,12631,594,540,596,696,825,1281,1531,1259,888,993,1079,1046,675,376,252,557,B
558,6515,280,238,326,453,568,658,643,306,349,728,1038,564,178,122,64,559,B
565,6426,235,214,219,330,977,992,708,571,395,396,382,329,294,195,189,566,B
573,6516,247,297,333,362,480,642,795,655,540,511,483,516,341,181,133,574,B
574,13235,509,471,498,588,679,1052,1673,1426,991,956,1069,1050,934,781,558,575,B
576,12164,411,517,561,592,714,1185,1472,1176,895,866,1064,1076,844,503,288,577,B
596,7735,354,359,393,448,550,743,888,820,626,706,595,519,379,222,133,597,B
605,13149,713,719,631,639,751,1309,1893,1668,1022,876,916,853,597,374,188,606,B
627,3674,151,153,150,177,272,399,447,347,268,238,321,316,234,133,68,628,A
629,9962,370,379,402,531,675,905,1226,1030,795,878,792,838,634,307,200,630,A
631,8097,356,337,337,395,617,744,965,797,545,615,575,588,511,407,308,632,B
633,5443,329,293,286,298,354,504,615,498,425,422,408,357,286,234,134,634,B
686,10062,462,434,511,735,823,978,969,612,596,1229,1245,781,387,208,92,687,B
